gene_family,consistencyindex,counts,minimumnumberchangesontree,parsimony_score,par_gains,par_losses,par_anc_state,number_genomes,syn_jun,pis_out,phy_par_keep
g000108_2,0.333333333333333,256:4,3,3,3,0,0,4,0,0,0
g000109_3,0.25,256:4,4,4,4,0,0,4,1,1,0
g000123,0.0588235294117647,24:236,17,17,2,16,1,236,1,1,0
g000135,0.333333333333333,3:257,3,3,0,3,1,257,0,0,1
g000139,0.142857142857143,7:253,7,7,0,7,1,253,0,0,1
g000140_2,0.5,258:2,2,2,2,0,0,2,1,0,0
g000145,0.25,9:251,4,4,0,4,1,251,1,0,1
g000150_3,0.05,198:62,20,20,11,9,0,62,1,0,0
g000150_4,0.166666666666667,250:10,6,6,6,0,0,10,1,0,0
g000159,0.25,4:256,4,4,0,4,1,256,0,0,1
g000168,0.25,4:256,4,4,0,4,1,256,1,0,1
g000174,0.333333333333333,3:257,3,3,0,3,1,257,0,0,1
g000200,0.5,4:256,2,2,0,2,1,256,1,0,1
g000202,0.25,8:252,4,4,0,4,1,252,0,0,1
g000210,0.0909090909090909,19:241,11,11,1,11,1,241,0,0,0
g000214,0.5,3:257,2,2,0,2,1,257,1,0,1
g000222,0.142857142857143,45:215,7,7,0,7,1,215,1,0,1
g000236_2,0.333333333333333,256:4,3,3,3,0,0,4,2,0,0
g000242_2,0.037037037037037,115:145,27,27,22,7,0,145,1,0,0
g000247_2,0.142857142857143,252:8,7,7,7,0,0,8,2,1,0
g000255,0.0769230769230769,17:243,13,13,0,13,1,243,2,0,1
g000264,0.0666666666666667,21:239,15,15,0,15,1,239,1,0,1
g000290,0.333333333333333,3:257,3,3,0,3,1,257,1,0,1
g000300,0.0285714285714286,62:198,35,35,4,32,1,198,1,1,0
g000302,0.5,5:255,2,2,0,2,1,255,0,0,1
g000313,0.0833333333333333,18:242,12,12,0,12,1,242,2,0,1
g000314,0.0833333333333333,25:235,12,12,2,10,1,235,1,0,0
g000322,0.024390243902439,75:185,41,41,14,29,1,185,1,0,0
g000332,0.0625,51:209,16,16,2,15,1,209,1,0,0
g000333_2,0.0625,202:58,16,16,12,4,1,58,1,0,0
g000361,0.333333333333333,3:257,3,3,0,3,1,257,0,0,1
g000363,0.0625,41:219,16,16,2,15,1,219,0,0,0
g000371,0.0833333333333333,50:210,12,12,4,8,0,210,1,0,0
g000373,0.0476190476190476,84:176,21,21,8,14,1,176,0,0,0
g000374,0.333333333333333,4:256,3,3,0,3,1,256,1,0,1
g000378,0.25,9:251,4,4,0,4,1,251,1,0,1
g000382,0.333333333333333,3:257,3,3,0,3,1,257,1,0,1
g000391,0.25,7:253,4,4,0,4,1,253,0,0,1
g000403,0.25,4:256,4,4,0,4,1,256,1,0,1
g000406,0.0625,51:209,16,16,4,14,1,209,1,0,0
g000421,0.111111111111111,15:245,9,9,0,9,1,245,1,0,1
g000433,0.25,7:253,4,4,0,4,1,253,0,0,1
g000436,0.5,9:251,2,2,0,2,1,251,0,0,1
g000439,0.166666666666667,6:254,6,6,2,6,1,254,1,0,0
g000440,0.111111111111111,9:251,9,9,1,9,1,251,0,0,0
g000441,0.5,3:257,2,2,0,2,1,257,1,0,1
g000444_1,0.0909090909090909,15:245,11,11,0,11,1,245,2,0,1
g000448_2,0.333333333333333,257:3,3,3,3,0,0,3,2,1,0
g000462,0.5,3:257,2,2,0,2,1,257,1,0,1
g000468,0.03125,45:215,32,32,13,22,1,215,1,0,0
g000484,0.0666666666666667,28:232,15,15,3,14,1,232,0,0,0
g000485,0.25,4:256,4,4,0,4,1,256,1,0,1
g000490_2,0.0909090909090909,247:13,11,11,11,0,0,13,2,1,0
g000496_3,0.333333333333333,257:3,3,3,3,0,0,3,2,1,0
g000497,0.0625,48:212,16,16,1,15,1,212,1,0,0
g000498_2,0.5,258:2,2,2,2,0,0,2,2,1,0
g000514,0.333333333333333,4:256,3,3,0,3,1,256,0,0,1
g000516_1,0.0416666666666667,144:116,24,24,16,14,0,116,1,0,0
g000516_2,0.0416666666666667,185:75,24,24,19,6,0,75,1,0,0
g000516_3,0.0526315789473684,231:29,19,19,18,2,0,29,1,0,0
g000517,0.0625,25:235,16,16,1,16,1,235,0,0,0
g000518_2,0.2,231:29,5,5,4,1,0,29,2,0,0
g000532,0.166666666666667,8:252,6,6,0,6,1,252,1,0,1
g000535,0.0909090909090909,14:246,11,11,0,11,1,246,2,0,1
g000543_2,0.333333333333333,257:3,3,3,3,0,0,3,2,1,0
g000552,0.333333333333333,3:257,3,3,0,3,1,257,0,0,1
g000558,0.142857142857143,7:253,7,7,0,7,1,253,0,0,1
g000567_2,0.25,256:4,4,4,4,0,0,4,2,1,0
g000568,0.166666666666667,7:253,6,6,0,6,1,253,0,0,1
g000583,0.5,4:256,2,2,0,2,1,256,1,0,1
g000604,0.5,11:249,2,2,0,2,1,249,0,0,1
g000619_2,0.142857142857143,167:93,7,7,7,1,0,93,1,0,0
g000634,0.25,4:256,4,4,0,4,1,256,1,0,1
g000642,0.0588235294117647,56:204,17,17,4,14,1,204,1,1,0
g000645,0.25,10:250,4,4,1,3,1,250,1,0,0
g000647,0.04,95:165,25,25,8,18,1,165,1,0,0
g000653_2,0.5,258:2,2,2,2,0,0,2,1,1,0
g000687,0.5,9:251,2,2,0,2,1,251,0,0,1
g000688,0.5,4:256,2,2,0,2,1,256,1,0,1
g000689_2,0.111111111111111,236:24,9,9,7,2,0,24,2,0,0
g000711,0.333333333333333,6:254,3,3,0,3,1,254,0,0,1
g000728_1,0.0263157894736842,189:71,38,38,37,4,0,71,2,1,0
g000728_2,0.333333333333333,242:18,3,3,3,1,0,18,0,0,0
g000730,0.25,9:251,4,4,0,4,1,251,1,0,1
g000737,0.0769230769230769,70:190,13,13,4,10,1,190,1,1,0
g000747,0.0625,51:209,16,16,2,15,1,209,1,0,0
g000752,0.0588235294117647,117:143,17,17,2,15,1,143,1,0,0
g000759,0.0588235294117647,56:204,17,17,4,14,1,204,1,0,0
g000769,0.0285714285714286,217:43,35,35,31,4,0,43,2,0,0
g000771,0.25,4:256,4,4,0,4,1,256,0,0,1
g000775_1,0.0256410256410256,189:71,39,39,38,4,0,71,2,0,0
g000775_2,0.125,237:23,8,8,7,1,0,23,2,0,0
g000780,0.142857142857143,10:250,7,7,0,7,1,250,0,0,1
g000783_2,0.1,250:10,10,10,10,0,0,10,2,0,0
g000814,0.0588235294117647,54:206,17,17,2,15,1,206,1,0,0
g000815,0.0454545454545455,67:193,22,22,13,9,0,193,0,0,0
g000817,0.0232558139534884,77:183,43,43,14,30,1,183,1,0,0
g000823,0.5,4:256,2,2,0,2,1,256,0,0,1
g000830,0.25,6:254,4,4,1,4,1,254,1,0,0
g000834_2,1,258:2,1,1,1,0,0,2,0,0,1
g000837,0.0333333333333333,225:35,30,30,29,4,0,35,0,0,0
g000839_2,0.5,258:2,2,2,2,0,0,2,1,0,0
g000841,0.0769230769230769,23:237,13,13,0,13,1,237,1,0,1
g000849_1,0.333333333333333,3:257,3,3,0,3,1,257,1,0,1
g000849_2,0.25,253:7,4,4,4,0,0,7,1,0,0
g000854,0.0384615384615385,40:220,26,26,6,24,1,220,0,0,0
g000861,0.0666666666666667,28:232,15,15,4,13,1,232,0,0,0
g000872_1,0.0769230769230769,24:236,13,13,1,13,1,236,2,0,0
g000872_2,0.0555555555555556,31:229,18,18,0,18,1,229,1,0,1
g000874,0.0384615384615385,111:149,26,26,14,13,1,149,1,0,0
g000886,0.0526315789473684,104:156,19,19,9,11,1,156,0,0,0
g000903,0.0256410256410256,199:61,39,39,35,8,0,61,2,1,0
g000911,0.0769230769230769,47:213,13,13,6,9,0,213,1,0,0
g000916,1,4:256,1,1,0,1,1,256,1,0,1
g000919,0.25,4:256,4,4,0,4,1,256,0,0,1
g000922,0.333333333333333,3:257,3,3,0,3,1,257,0,0,1
g000927,0.2,7:253,5,5,0,5,1,253,1,0,1
g000930,0.0277777777777778,175:85,36,36,33,7,0,85,2,0,0
g000931,0.0277777777777778,175:85,36,36,33,6,0,85,2,0,0
g000934,0.0256410256410256,197:63,39,39,35,7,0,63,2,1,0
g000935,0.0416666666666667,142:118,24,24,5,19,1,118,1,0,0
g000936,0.0588235294117647,117:143,17,17,3,15,1,143,1,0,0
g000944,0.5,5:255,2,2,0,2,1,255,0,0,1
g000945,0.0526315789473684,35:225,19,19,9,10,0,225,1,0,0
g000952,0.0666666666666667,91:169,15,15,1,15,1,169,0,0,0
g000954,0.0232558139534884,77:183,43,43,15,31,1,183,1,0,0
g000961,0.0256410256410256,181:79,39,39,32,10,0,79,0,0,0
g000968_2,0.0769230769230769,244:16,13,13,13,0,0,16,2,0,0
g000974,0.25,4:256,4,4,0,4,1,256,0,0,1
g000975,0.25,4:256,4,4,0,4,1,256,0,0,1
g000983_2,0.25,256:4,4,4,4,0,0,4,2,1,0
g000988_2,1,258:2,1,1,1,0,0,2,0,0,1
g000990,0.0555555555555556,59:201,18,18,9,11,0,201,1,0,0
g000992,0.333333333333333,6:254,3,3,0,3,1,254,0,0,1
g000993,0.0333333333333333,221:39,30,30,29,2,0,39,2,0,0
g001011,0.142857142857143,8:252,7,7,0,7,1,252,0,0,1
g001016,0.0416666666666667,38:222,24,24,7,20,1,222,0,0,0
g001017,0.032258064516129,222:38,31,31,31,0,0,38,2,1,0
g001028,0.25,6:254,4,4,1,4,1,254,1,0,0
g001037,0.0769230769230769,163:97,13,13,8,5,1,97,1,0,0
g001058,0.0454545454545455,141:119,22,22,6,19,1,119,1,0,0
g001066,0.0625,40:220,16,16,2,15,1,220,0,0,0
g001074,0.0666666666666667,78:182,15,15,6,10,0,182,1,0,0
g001091,0.25,4:256,4,4,0,4,1,256,1,0,1
g001093,0.0833333333333333,46:214,12,12,1,11,1,214,1,0,0
g001096_2,0.333333333333333,257:3,3,3,3,0,0,3,2,1,0
g001098,0.0416666666666667,36:224,24,24,6,22,1,224,0,0,0
g001118,0.333333333333333,5:255,3,3,1,3,1,255,1,0,0
g001121,0.1,25:235,10,10,1,9,1,235,1,0,0
g001132,0.25,4:256,4,4,0,4,1,256,0,0,1
g001134,0.0476190476190476,68:192,21,21,6,15,0,192,1,0,0
g001144_1,0.0256410256410256,190:70,39,39,34,6,0,70,2,0,0
g001144_2,0.2,238:22,5,5,4,1,0,22,2,0,0
g001145,0.0476190476190476,127:133,21,21,2,19,1,133,1,0,0
g001146,0.0769230769230769,23:237,13,13,0,13,1,237,1,0,1
g001147,0.0238095238095238,76:184,42,42,14,29,1,184,1,0,0
g001150,0.025,121:139,40,40,26,15,0,139,1,0,0
g001151,0.142857142857143,52:208,7,7,2,6,1,208,1,0,0
g001152,0.0294117647058824,205:55,34,34,29,7,0,55,2,1,0
g001153,0.0333333333333333,222:38,30,30,30,2,0,38,2,0,0
g001160,0.5,4:256,2,2,1,2,1,256,0,0,0
g001162,0.333333333333333,5:255,3,3,0,3,1,255,1,0,1
g001179,0.0833333333333333,58:202,12,12,3,10,1,202,1,0,0
g001184,0.333333333333333,3:257,3,3,0,3,1,257,1,0,1
g001186,0.0416666666666667,229:31,24,24,22,3,0,31,2,0,0
g001192,0.05,99:161,20,20,15,6,1,161,1,0,0
g001200,0.25,24:236,4,4,0,4,1,236,0,0,1
g001206,0.0256410256410256,120:140,39,39,27,13,0,140,1,0,0
g001217,0.0416666666666667,142:118,24,24,5,19,1,118,1,0,0
g001218,0.1,11:249,10,10,0,10,1,249,0,0,1
g001220,0.0434782608695652,35:225,23,23,5,21,1,225,0,0,0
g001227,0.0217391304347826,167:93,46,46,35,17,0,93,1,0,0
g001232,0.0769230769230769,44:216,13,13,1,12,1,216,1,0,0
g001234,0.0217391304347826,172:88,46,46,43,9,0,88,2,1,0
g001236,0.0909090909090909,19:241,11,11,1,11,1,241,0,0,0
g001247,0.125,10:250,8,8,1,8,1,250,1,0,0
g001253,0.05,164:96,20,20,8,13,1,96,1,0,0
g001254,0.125,11:249,8,8,5,5,1,249,1,0,0
g001257,0.5,6:254,2,2,0,2,1,254,1,0,1
g001258,0.0416666666666667,93:167,24,24,6,21,0,167,0,0,0
g001269,0.027027027027027,189:71,37,37,34,5,0,71,2,0,0
g001273,0.0625,55:205,16,16,7,11,0,205,1,0,0
g001274,0.04,202:58,25,25,24,4,0,58,2,0,0
g001275_2,0.333333333333333,253:7,3,3,3,0,0,7,2,0,0
g001298,0.0333333333333333,153:107,30,30,9,21,0,107,0,0,0
g001300_2,0.25,256:4,4,4,4,0,0,4,1,1,0
g001303,0.142857142857143,45:215,7,7,0,7,1,215,1,0,1
g001308,0.25,4:256,4,4,0,4,1,256,1,0,1
g001310,0.0714285714285714,52:208,14,14,5,10,0,208,1,0,0
g001318,0.0909090909090909,49:211,11,11,5,7,0,211,1,0,0
g001325,1,24:236,1,1,0,1,1,236,1,0,1
g001328,0.0588235294117647,56:204,17,17,3,14,1,204,1,0,0
g001330,0.0625,40:220,16,16,2,15,1,220,0,0,0
g001339,0.333333333333333,6:254,3,3,0,3,1,254,1,0,1
g001342_1,0.0217391304347826,167:93,46,46,36,15,0,93,2,0,0
g001345_2,0.166666666666667,201:59,6,6,6,0,0,59,2,0,0
g001346_2,0.125,251:9,8,8,8,0,0,9,2,1,0
g001347_1,0.0227272727272727,184:76,44,44,34,16,0,76,2,0,0
g001347_2,0.2,255:5,5,5,5,1,0,5,2,0,0
g001348,0.166666666666667,6:254,6,6,0,6,1,254,0,0,1
g001349,1,24:236,1,1,0,1,1,236,1,0,1
g001350,0.333333333333333,3:257,3,3,0,3,1,257,1,0,1
g001351,0.0666666666666667,17:243,15,15,0,15,1,243,1,0,1
g001353,0.0333333333333333,222:38,30,30,29,1,0,38,2,0,0
g001354,0.032258064516129,226:34,31,31,31,1,0,34,2,0,0
g001355,0.0333333333333333,201:59,30,30,28,3,0,59,2,0,0
g001373,0.0357142857142857,205:55,28,28,27,3,0,55,2,1,0
g001380,0.0416666666666667,229:31,24,24,24,1,0,31,2,0,0
g001382,0.0714285714285714,27:233,14,14,4,12,1,233,0,0,0
g001397,0.05,99:161,20,20,15,5,1,161,1,0,0
g001401,0.025,211:49,40,40,35,9,0,49,2,0,0
g001403,0.333333333333333,5:255,3,3,1,2,1,255,1,0,0
g001404,0.25,4:256,4,4,0,4,1,256,0,0,1
g001413,0.5,9:251,2,2,0,2,1,251,0,0,1
g001421,0.0769230769230769,22:238,13,13,2,13,1,238,0,0,0
g001428,0.0588235294117647,33:227,17,17,1,17,1,227,1,0,0
g001430,0.0769230769230769,23:237,13,13,0,13,1,237,1,0,1
g001435,0.333333333333333,3:257,3,3,0,3,1,257,0,0,1
g001438,0.04,98:162,25,25,18,10,0,162,1,0,0
g001451,0.05,164:96,20,20,9,12,1,96,1,0,0
g001464,0.03125,140:120,32,32,11,22,1,120,1,0,0
g001467,0.333333333333333,3:257,3,3,0,3,1,257,1,0,1
g001487,0.04,98:162,25,25,18,8,1,162,1,0,0
g001494,0.0833333333333333,74:186,12,12,5,8,0,186,1,0,0
g001500_2,0.5,244:16,2,2,2,0,0,16,1,0,0
g001500_3,1,245:15,1,1,1,0,0,15,1,0,1
g001508,0.142857142857143,7:253,7,7,0,7,1,253,0,0,1
g001519,0.0416666666666667,39:221,24,24,6,20,1,221,0,0,0
g001521,0.5,4:256,2,2,1,1,1,256,0,0,0
g001535,0.125,8:252,8,8,1,8,1,252,0,0,0
g001538,0.037037037037037,177:83,27,27,13,15,0,83,1,0,0
g001550,0.032258064516129,131:129,31,31,23,10,0,129,1,0,0
g001553,0.0256410256410256,199:61,39,39,35,8,0,61,2,1,0
g001555,0.142857142857143,24:236,7,7,1,6,1,236,1,0,0
g001557,0.333333333333333,3:257,3,3,0,3,1,257,1,0,1
g001559,0.0384615384615385,233:27,26,26,26,0,0,27,2,0,0
g001564,0.0666666666666667,78:182,15,15,6,10,0,182,1,0,0
g001572,0.0454545454545455,217:43,22,22,16,11,0,43,1,0,0
g001573,0.333333333333333,5:255,3,3,0,3,1,255,1,0,1
g001574,0.0625,51:209,16,16,0,16,1,209,1,0,1
