gene_family,class,gene_length,Ls,Ls_keep,pi_s,thetaW_s,n_median,seg_s_sites,number_genomes
g000145,4fold,1698,282,71,0.0166929370515544,0.0346423422292648,250,15,251
g000145,2fold,1698,122,34,0.00833629902784328,0.019290594541297,250,4,251
g000150_3,4fold,1356,214,60,0.00344262295081967,0.00356135217345783,61,1,62
g000150_3,2fold,1356,182,67,0.0061748370784891,0.00954554597148807,62,3,62
g000150_4,4fold,1413,200,59,0.0553672316384181,0.0361926396100615,8,6,10
g000150_4,2fold,1413,144,47,0,0,5,0,10
g000168,4fold,3276,488,54,0.00420070806100218,0.0151284241109526,256,5,256
g000168,2fold,3276,435,65,0.00726102941176471,0.0100545834091254,256,4,256
g000200,4fold,2301,368,63,0.0202621999149616,0.023345985513649,255,9,256
g000200,2fold,2301,257,56,0.010318947953197,0.0350264607413139,255.5,12,256
g000214,4fold,1869,241,55,0.0228444464096215,0.0178126656406901,257,6,257
g000214,2fold,1869,251,54,0.0154628728923476,0.012095019879481,257,4,257
g000222,4fold,3066,528,57,0.0300102571142048,0.0324584311152944,215,11,215
g000222,2fold,3066,301,47,0.000982210157828776,0.00715717823432024,215,2,215
g000242_2,4fold,819,30,15,0.00821200510855683,0.0720957088028838,145,6,145
g000242_2,2fold,819,19,12,0.00346424010217112,0.0450786257236859,145,3,145
g000264,4fold,1005,129,61,0.0713625734263799,0.100231147065122,239,37,239
g000264,2fold,1005,114,47,0.0378057748515591,0.0703174234729435,239,20,239
g000290,4fold,2724,475,65,0.0181223810236456,0.0150722555421224,257,6,257
g000290,2fold,2724,259,43,0.00286173196995748,0.0189863684154643,257,5,257
g000314,4fold,969,148,67,0.0320420077658904,0.0469991404900106,235,19,235
g000314,2fold,969,97,40,0.0108937988725223,0.012431117445671,235,3,235
g000322,4fold,1899,202,39,0.0307577505066402,0.053122378514575,184,12,185
g000322,2fold,1899,290,70,0.00846318469982048,0.0222033423444377,184,9,185
g000332,4fold,1536,262,72,0.0324512840960209,0.035208357721536,209,15,209
